customer_id,segment,n_transactions,total_revenue_gbp,avg_order_value_gbp,actual_return_rate,predicted_return_prob,first_order,last_order,stated_order_frequency_12m,active_years,annual_orders,annual_gross_margin_gbp,expected_return_cost_gbp,intervention_spend_gbp,annual_contribution_gbp,clv_gbp,risk_segment,annual_gross_margin_gbp_policy,expected_return_cost_gbp_policy,intervention_spend_gbp_policy,annual_contribution_gbp_policy,clv_gbp_policy,clv_uplift_gbp
18,Repeat,11,1380.32,125.4836,0.4545,0.3298,2024-05-08,2025-11-09,19,1.6454,6.6851,251.6615,106.76,0.0,144.9015,282.7812,Medium_Risk,251.6615,106.76,0.0,144.9015,282.7812,0.0
19,Repeat,12,1339.11,111.5925,0.5,0.2474,2024-01-21,2025-08-31,19,1.9411,6.1819,206.9577,66.6152,0.0,140.3424,273.8839,Low_Risk,206.9577,66.6152,0.0,140.3424,273.8839,0.0
20,First_Time,7,933.48,133.3543,0.4286,0.3521,2024-05-19,2025-11-14,1,1.6153,4.3335,173.3662,78.0861,0.0,95.2801,185.943,Medium_Risk,173.3662,78.0861,0.0,95.2801,185.943,0.0
21,Repeat,17,1391.02,81.8247,0.2353,0.2944,2024-02-18,2025-08-07,18,1.8645,9.1178,223.8194,88.9394,0.0,134.88,263.2237,Medium_Risk,223.8194,88.9394,0.0,134.88,263.2237,0.0
22,First_Time,7,631.03,90.1471,0.4286,0.4527,2025-01-10,2025-11-12,1,0.9692,7.2225,195.3252,117.8858,0.0,77.4394,151.1261,High_Risk,195.3252,88.4143,34.3067,72.6042,141.6899,-9.4361
23,First_Time,9,999.25,111.0278,0.4444,0.3341,2024-06-22,2025-10-04,1,1.5222,5.9123,196.9295,85.6569,0.0,111.2726,217.153,Medium_Risk,196.9295,85.6569,0.0,111.2726,217.153,0.0
24,First_Time,10,955.42,95.542,0.5,0.3836,2024-01-16,2025-11-10,1,1.9548,5.1155,146.6249,74.4442,0.0,72.1807,140.8635,Medium_Risk,146.6249,74.4442,0.0,72.1807,140.8635,0.0
25,Repeat,12,2143.84,178.6533,0.25,0.2303,2024-01-04,2025-12-06,19,1.9877,6.0372,323.5692,93.178,0.0,230.3912,449.6177,Low_Risk,323.5692,93.178,0.0,230.3912,449.6177,0.0
26,Repeat,10,2251.4,225.14,0.4,0.2641,2024-03-08,2025-11-24,14,1.8125,5.5174,372.6543,121.3864,0.0,251.2679,490.3595,Medium_Risk,372.6543,121.3864,0.0,251.2679,490.3595,0.0
27,First_Time,7,791.23,113.0329,0.4286,0.3897,2024-01-06,2025-08-16,1,1.9822,3.5314,119.75,60.6322,0.0,59.1179,115.3709,Medium_Risk,119.75,60.6322,0.0,59.1179,115.3709,0.0
28,Repeat,9,1209.1,134.3444,0.1111,0.2761,2024-02-29,2025-09-24,19,1.8344,4.9063,197.742,69.7808,0.0,127.9612,249.7213,Medium_Risk,197.742,69.7808,0.0,127.9612,249.7213,0.0
29,Repeat,10,1231.25,123.125,0.1,0.2326,2024-01-01,2025-11-30,19,1.9959,5.0103,185.0675,55.4769,0.0,129.5907,252.9014,Low_Risk,185.0675,55.4769,0.0,129.5907,252.9014,0.0
30,First_Time,14,1786.18,127.5843,0.4286,0.3656,2024-03-04,2025-12-08,1,1.8234,7.6779,293.8749,137.9763,0.0,155.8986,304.2424,Medium_Risk,293.8749,137.9763,0.0,155.8986,304.2424,0.0
31,Repeat,10,1452.05,145.205,0.4,0.2937,2024-01-19,2025-11-26,17,1.9466,5.1371,223.7811,83.469,0.0,140.3121,273.8247,Medium_Risk,223.7811,83.469,0.0,140.3121,273.8247,0.0
32,First_Time,7,655.0,93.5714,0.5714,0.3814,2024-01-16,2025-11-26,1,1.9548,3.5809,100.5205,50.8714,0.0,49.6491,96.8921,Medium_Risk,100.5205,50.8714,0.0,49.6491,96.8921,0.0
33,First_Time,12,1268.73,105.7275,0.3333,0.3762,2024-01-24,2025-11-22,1,1.9329,6.2082,196.9137,96.925,0.0,99.9887,195.132,Medium_Risk,196.9137,96.925,0.0,99.9887,195.132,0.0
34,Wholesale,7,859.11,122.73,0.0,0.07,2024-02-17,2025-12-14,49,1.8672,3.7489,138.0308,12.4477,0.0,125.5831,245.0804,Low_Risk,138.0308,12.4477,0.0,125.5831,245.0804,0.0
35,Wholesale,11,1802.41,163.8555,0.2727,0.1074,2024-01-08,2025-11-22,47,1.9767,5.5648,273.5444,36.9736,0.0,236.5708,461.6775,Low_Risk,273.5444,36.9736,0.0,236.5708,461.6775,0.0
36,Repeat,19,2031.72,106.9326,0.2105,0.2388,2024-01-17,2025-11-18,19,1.9521,9.7332,312.238,97.4595,0.0,214.7785,419.1489,Low_Risk,312.238,97.4595,0.0,214.7785,419.1489,0.0
37,First_Time,7,640.84,91.5486,0.1429,0.3615,2024-04-15,2025-12-25,1,1.7084,4.0974,112.5321,54.1218,0.0,58.4104,113.9902,Medium_Risk,112.5321,54.1218,0.0,58.4104,113.9902,0.0
38,First_Time,8,1256.08,157.01,0.25,0.3203,2024-01-08,2025-12-12,1,1.9767,4.0471,190.6301,77.061,0.0,113.5692,221.6348,Medium_Risk,190.6301,77.061,0.0,113.5692,221.6348,0.0
39,Repeat,11,1505.7,136.8818,0.3636,0.3177,2024-01-01,2025-10-25,17,1.9959,5.5113,226.3197,91.7734,0.0,134.5463,262.5725,Medium_Risk,226.3197,91.7734,0.0,134.5463,262.5725,0.0
40,Repeat,9,1454.15,161.5722,0.2222,0.2335,2024-02-22,2025-10-25,19,1.8535,4.8556,235.3597,69.2279,0.0,166.1317,324.2128,Low_Risk,235.3597,69.2279,0.0,166.1317,324.2128,0.0
41,First_Time,10,1238.33,123.833,0.6,0.4209,2024-01-18,2025-04-10,1,1.9493,5.1299,190.5759,103.2976,0.0,87.2783,170.327,High_Risk,190.5759,77.4732,24.3671,88.7356,173.171,2.844
42,Repeat,19,1992.81,104.8847,0.2632,0.2398,2024-01-27,2025-12-04,19,1.9247,9.8716,310.6147,97.5442,0.0,213.0705,415.8157,Low_Risk,310.6147,97.5442,0.0,213.0705,415.8157,0.0
43,First_Time,8,1757.48,219.685,0.75,0.3264,2024-01-27,2025-10-29,1,1.9247,4.1565,273.9344,110.4194,0.0,163.515,319.106,Medium_Risk,273.9344,110.4194,0.0,163.515,319.106,0.0
44,Wholesale,11,1416.42,128.7655,0.0909,0.0691,2024-03-19,2025-09-24,45,1.7823,6.1717,238.4089,21.1291,0.0,217.2798,424.0303,Low_Risk,238.4089,21.1291,0.0,217.2798,424.0303,0.0
45,First_Time,6,554.15,92.3583,0.5,0.3289,2024-10-28,2025-10-19,1,1.1718,5.1203,141.8715,62.0182,0.0,79.8533,155.8369,Medium_Risk,141.8715,62.0182,0.0,79.8533,155.8369,0.0
46,Repeat,12,1501.02,125.085,0.25,0.2574,2024-02-25,2025-11-27,19,1.8453,6.503,244.0271,80.8023,0.0,163.2248,318.5398,Medium_Risk,244.0271,80.8023,0.0,163.2248,318.5398,0.0
47,First_Time,12,2180.85,181.7375,0.5833,0.371,2024-06-15,2025-12-17,1,1.5414,7.7851,424.4523,196.7102,0.0,227.7421,444.4479,Medium_Risk,424.4523,196.7102,0.0,227.7421,444.4479,0.0
48,Repeat,8,918.25,114.7812,0.375,0.2574,2024-02-10,2025-10-31,17,1.8864,4.2409,146.0337,48.7688,0.0,97.2649,189.8164,Medium_Risk,146.0337,48.7688,0.0,97.2649,189.8164,0.0
49,Repeat,4,538.34,134.585,0.0,0.2489,2025-01-01,2025-11-30,18,0.9938,4.0248,162.503,51.7058,0.0,110.7973,216.2253,Low_Risk,162.503,51.7058,0.0,110.7973,216.2253,0.0
50,First_Time,5,1204.98,240.996,0.2,0.3357,2024-03-24,2025-08-22,1,1.7687,2.827,204.3896,84.3276,0.0,120.062,234.3058,Medium_Risk,204.3896,84.3276,0.0,120.062,234.3058,0.0
51,Wholesale,8,642.51,80.3138,0.125,0.0645,2024-02-20,2025-04-22,46,1.859,4.3034,103.6864,9.045,0.0,94.6413,184.6964,Low_Risk,103.6864,9.045,0.0,94.6413,184.6964,0.0
52,Repeat,13,2372.9,182.5308,0.0769,0.276,2024-02-03,2025-10-20,19,1.9055,6.8222,373.5783,128.7873,0.0,244.791,477.7195,Medium_Risk,373.5783,128.7873,0.0,244.791,477.7195,0.0
53,Wholesale,5,1474.87,294.974,0.4,0.0718,2024-04-11,2025-11-12,49,1.7194,2.908,257.339,22.4896,0.0,234.8494,458.3181,Low_Risk,257.339,22.4896,0.0,234.8494,458.3181,0.0
54,Repeat,8,1169.78,146.2225,0.125,0.3065,2024-08-08,2025-12-30,19,1.3936,5.7407,251.8244,97.9619,0.0,153.8625,300.2689,Medium_Risk,251.8244,97.9619,0.0,153.8625,300.2689,0.0
55,Repeat,11,1150.1,104.5545,0.0909,0.1819,2024-06-09,2025-09-28,19,1.5578,7.0611,221.4802,52.7896,0.0,168.6906,329.2065,Low_Risk,221.4802,52.7896,0.0,168.6906,329.2065,0.0
56,Wholesale,9,1483.88,164.8756,0.0,0.0767,2024-02-28,2025-09-05,49,1.8371,4.899,242.3192,23.3772,0.0,218.942,427.274,Low_Risk,242.3192,23.3772,0.0,218.942,427.274,0.0
57,First_Time,12,1091.39,90.9492,0.5,0.3874,2024-04-23,2025-10-24,1,1.6865,7.1153,194.1381,100.154,0.0,93.9841,183.4137,Medium_Risk,194.1381,100.154,0.0,93.9841,183.4137,0.0
58,First_Time,6,521.74,86.9567,0.8333,0.3555,2024-02-27,2025-11-17,1,1.8398,3.2612,85.0739,40.5027,0.0,44.5712,86.9824,Medium_Risk,85.0739,40.5027,0.0,44.5712,86.9824,0.0
59,First_Time,10,861.89,86.189,0.5,0.376,2024-02-05,2025-12-20,1,1.9001,5.263,136.083,68.6043,0.0,67.4787,131.6874,Medium_Risk,136.083,68.6043,0.0,67.4787,131.6874,0.0
60,First_Time,11,1329.13,120.83,0.1818,0.3691,2024-01-08,2025-07-14,1,1.9767,5.5648,201.7166,96.1072,0.0,105.6095,206.1011,Medium_Risk,201.7166,96.1072,0.0,105.6095,206.1011,0.0
61,First_Time,10,1296.61,129.661,0.0,0.332,2024-01-02,2025-10-26,1,1.9932,5.0172,195.1594,83.0909,0.0,112.0685,218.7061,Medium_Risk,195.1594,83.0909,0.0,112.0685,218.7061,0.0
62,First_Time,7,497.64,71.0914,0.2857,0.2978,2024-04-08,2025-06-28,1,1.7276,4.0519,86.4166,35.4543,0.0,50.9623,99.455,Medium_Risk,86.4166,35.4543,0.0,50.9623,99.455,0.0
63,Repeat,11,1694.43,154.0391,0.4545,0.2369,2024-01-02,2025-09-13,17,1.9932,5.5189,255.0373,76.3813,0.0,178.6561,348.6545,Low_Risk,255.0373,76.3813,0.0,178.6561,348.6545,0.0
64,First_Time,12,1389.29,115.7742,0.25,0.4006,2024-04-21,2025-11-16,1,1.692,7.0922,246.3292,127.9018,0.0,118.4274,231.1158,High_Risk,246.3292,95.9264,33.6881,116.7147,227.7735,-3.3423
65,First_Time,11,1353.69,123.0627,0.1818,0.3001,2024-02-22,2025-11-14,1,1.8535,5.9346,219.0998,84.7135,0.0,134.3864,262.2604,Medium_Risk,219.0998,84.7135,0.0,134.3864,262.2604,0.0
66,Repeat,8,442.84,55.355,0.25,0.2632,2024-01-28,2025-10-16,17,1.922,4.1624,69.1228,26.1555,0.0,42.9673,83.8525,Medium_Risk,69.1228,26.1555,0.0,42.9673,83.8525,0.0
67,First_Time,8,1331.32,166.415,0.5,0.3993,2024-03-06,2025-12-20,1,1.8179,4.4006,219.6979,110.2471,0.0,109.4508,213.5976,Medium_Risk,219.6979,110.2471,0.0,109.4508,213.5976,0.0
68,Repeat,10,2307.82,230.782,0.5,0.2761,2024-06-12,2025-12-18,14,1.5496,6.4532,446.7834,151.9069,0.0,294.8764,575.4632,Medium_Risk,446.7834,151.9069,0.0,294.8764,575.4632,0.0
69,First_Time,10,1290.12,129.012,0.2,0.3418,2024-03-15,2025-12-21,1,1.7933,5.5763,215.8243,94.6269,0.0,121.1973,236.5215,Medium_Risk,215.8243,94.6269,0.0,121.1973,236.5215,0.0
70,Wholesale,15,1924.9,128.3267,0.0,0.0687,2024-01-15,2025-11-14,47,1.9576,7.6626,294.9943,26.0023,0.0,268.9919,524.9486,Low_Risk,294.9943,26.0023,0.0,268.9919,524.9486,0.0
71,Repeat,8,1536.49,192.0612,0.125,0.2571,2024-02-19,2025-06-14,18,1.8617,4.2971,247.5895,79.235,0.0,168.3546,328.5507,Medium_Risk,247.5895,79.235,0.0,168.3546,328.5507,0.0
72,First_Time,10,1677.99,167.799,0.5,0.3142,2024-01-31,2025-11-18,1,1.9138,5.2253,263.0411,103.8076,0.0,159.2335,310.7506,Medium_Risk,263.0411,103.8076,0.0,159.2335,310.7506,0.0
73,First_Time,9,701.54,77.9489,0.5556,0.4444,2024-04-29,2025-12-25,1,1.6701,5.3889,126.0184,76.112,0.0,49.9064,97.3944,High_Risk,126.0184,57.084,25.5974,43.337,84.5739,-12.8205
74,Repeat,8,559.65,69.9562,0.375,0.3204,2024-05-14,2025-11-29,18,1.629,4.9109,103.065,45.6107,0.0,57.4542,112.1243,Medium_Risk,103.065,45.6107,0.0,57.4542,112.1243,0.0
75,Repeat,19,2352.48,123.8147,0.1053,0.2604,2024-01-20,2025-11-26,19,1.9439,9.7743,363.0606,121.7417,0.0,241.3189,470.9435,Medium_Risk,363.0606,121.7417,0.0,241.3189,470.9435,0.0
76,Repeat,7,1102.02,157.4314,0.1429,0.2669,2024-01-26,2025-09-14,18,1.9274,3.6317,171.5253,57.7747,0.0,113.7507,221.989,Medium_Risk,171.5253,57.7747,0.0,113.7507,221.989,0.0
77,Repeat,15,2231.0,148.7333,0.2,0.2751,2024-02-10,2025-12-19,16,1.8864,7.9517,354.8067,123.7002,0.0,231.1065,451.0136,Medium_Risk,354.8067,123.7002,0.0,231.1065,451.0136,0.0
78,First_Time,8,991.39,123.9238,0.375,0.4143,2024-03-12,2025-12-23,1,1.8015,4.4407,165.0936,88.0771,0.0,77.0165,150.3008,High_Risk,165.0936,66.0578,21.0935,77.9423,152.1075,1.8067
79,First_Time,5,1100.33,220.066,0.4,0.3352,2024-02-19,2025-11-20,1,1.8617,2.6857,177.3069,73.3807,0.0,103.9262,202.8161,Medium_Risk,177.3069,73.3807,0.0,103.9262,202.8161,0.0
80,First_Time,10,1532.74,153.274,0.1,0.3349,2024-04-10,2025-10-20,1,1.7221,5.8068,267.0111,113.0776,0.0,153.9335,300.4074,Medium_Risk,267.0111,113.0776,0.0,153.9335,300.4074,0.0
81,Repeat,17,2792.28,164.2518,0.2941,0.2641,2024-05-28,2025-12-28,18,1.5907,10.6872,526.6163,174.9487,0.0,351.6676,686.2935,Medium_Risk,526.6163,174.9487,0.0,351.6676,686.2935,0.0
82,Repeat,11,1438.11,130.7373,0.0909,0.2371,2024-01-06,2025-05-21,19,1.9822,5.5494,217.6532,66.116,0.0,151.5371,295.7308,Low_Risk,217.6532,66.116,0.0,151.5371,295.7308,0.0
83,First_Time,6,961.1,160.1833,0.3333,0.4718,2024-04-10,2025-07-19,1,1.7221,3.4841,167.4285,99.5513,0.0,67.8772,132.4651,High_Risk,167.4285,74.6635,16.5495,76.2156,148.7377,16.2726
84,First_Time,12,1041.05,86.7542,0.4167,0.3531,2024-06-02,2025-11-14,1,1.577,7.6094,198.0435,93.6795,0.0,104.364,203.6705,Medium_Risk,198.0435,93.6795,0.0,104.364,203.6705,0.0
85,First_Time,9,656.69,72.9656,0.4444,0.3869,2024-02-05,2025-10-04,1,1.9001,4.7367,103.6842,55.0483,0.0,48.6358,94.9148,Medium_Risk,103.6842,55.0483,0.0,48.6358,94.9148,0.0
86,First_Time,9,1065.32,118.3689,0.3333,0.3898,2024-04-04,2025-12-07,1,1.7385,5.1768,183.8306,92.6836,0.0,91.147,177.877,Medium_Risk,183.8306,92.6836,0.0,91.147,177.877,0.0
87,Repeat,8,889.48,111.185,0.125,0.2491,2024-07-13,2025-12-04,19,1.4648,5.4617,182.1771,59.0593,0.0,123.1179,240.2694,Low_Risk,182.1771,59.0593,0.0,123.1179,240.2694,0.0
88,Repeat,9,860.64,95.6267,0.3333,0.2919,2024-06-09,2025-11-28,19,1.5578,5.7772,165.7375,64.0203,0.0,101.7172,198.5052,Medium_Risk,165.7375,64.0203,0.0,101.7172,198.5052,0.0
89,Repeat,10,1334.8,133.48,0.2,0.2377,2024-04-11,2025-11-06,19,1.7194,5.8161,232.8992,70.8148,0.0,162.0844,316.3143,Low_Risk,232.8992,70.8148,0.0,162.0844,316.3143,0.0
90,Repeat,12,1159.97,96.6642,0.3333,0.2861,2024-04-20,2025-09-26,18,1.6947,7.0808,205.3372,77.6425,0.0,127.6947,249.2014,Medium_Risk,205.3372,77.6425,0.0,127.6947,249.2014,0.0
91,First_Time,8,899.27,112.4088,0.25,0.3761,2024-08-01,2025-10-03,1,1.4127,5.6628,190.9642,93.3875,0.0,97.5767,190.4248,Medium_Risk,190.9642,93.3875,0.0,97.5767,190.4248,0.0
92,Repeat,5,823.55,164.71,0.0,0.3307,2024-02-13,2025-11-26,19,1.8782,2.6622,131.5459,54.7203,0.0,76.8256,149.9282,Medium_Risk,131.5459,54.7203,0.0,76.8256,149.9282,0.0
93,Repeat,11,1913.17,173.9245,0.2727,0.2178,2024-02-01,2025-11-28,19,1.911,5.7561,300.3375,81.9419,0.0,218.3957,426.2079,Low_Risk,300.3375,81.9419,0.0,218.3957,426.2079,0.0
94,Repeat,8,455.5,56.9375,0.375,0.3331,2024-01-15,2025-12-25,17,1.9576,4.0867,69.8062,33.256,0.0,36.5501,71.3291,Medium_Risk,69.8062,33.256,0.0,36.5501,71.3291,0.0
95,Repeat,9,830.15,92.2389,0.2222,0.215,2024-10-06,2025-12-23,18,1.232,7.305,202.1415,57.7747,0.0,144.3669,281.7377,Low_Risk,202.1415,57.7747,0.0,144.3669,281.7377,0.0
96,Repeat,15,1693.4,112.8933,0.1333,0.2315,2024-01-03,2025-12-18,19,1.9904,7.5361,255.2329,76.7955,0.0,178.4374,348.2277,Low_Risk,255.2329,76.7955,0.0,178.4374,348.2277,0.0
97,Repeat,15,1584.05,105.6033,0.1333,0.266,2024-01-11,2025-10-01,19,1.9685,7.62,241.4079,84.028,0.0,157.3799,307.1333,Medium_Risk,241.4079,84.028,0.0,157.3799,307.1333,0.0
98,Repeat,19,2534.98,133.42,0.2632,0.2596,2024-02-22,2025-12-03,19,1.8535,10.2507,410.2961,136.2168,0.0,274.0793,534.8767,Medium_Risk,410.2961,136.2168,0.0,274.0793,534.8767,0.0
99,First_Time,8,657.63,82.2038,0.375,0.4489,2024-03-02,2025-09-22,1,1.8289,4.3743,107.874,65.3269,0.0,42.547,83.0322,High_Risk,107.874,48.9952,20.7777,38.1011,74.3558,-8.6765
100,First_Time,10,768.58,76.858,0.5,0.4306,2024-01-16,2025-12-17,1,1.9548,5.1155,117.9512,69.1623,0.0,48.7889,95.2136,High_Risk,117.9512,51.8717,24.2988,41.7806,81.5366,-13.6769
101,First_Time,9,929.14,103.2378,0.2222,0.4374,2024-03-23,2025-10-27,1,1.7714,5.0808,157.3578,90.3092,0.0,67.0486,130.8481,High_Risk,157.3578,67.7319,24.1336,65.4923,127.8109,-3.0372
102,Repeat,14,1932.69,138.0493,0.2857,0.239,2024-03-07,2025-11-24,16,1.8152,7.7127,319.4186,97.3586,0.0,222.06,433.3589,Low_Risk,319.4186,97.3586,0.0,222.06,433.3589,0.0
103,First_Time,6,783.37,130.5617,0.3333,0.3305,2024-05-08,2025-06-01,1,1.6454,3.6464,142.8249,60.4957,0.0,82.3292,160.6688,Medium_Risk,142.8249,60.4957,0.0,82.3292,160.6688,0.0
104,Repeat,7,733.01,104.7157,0.4286,0.3183,2024-03-17,2025-04-30,17,1.7878,3.9154,123.0009,51.278,0.0,71.7229,139.9701,Medium_Risk,123.0009,51.278,0.0,71.7229,139.9701,0.0
105,Wholesale,6,807.75,134.625,0.1667,0.1237,2024-02-27,2025-11-30,46,1.8398,3.2612,131.7101,20.8226,0.0,110.8876,216.4015,Low_Risk,131.7101,20.8226,0.0,110.8876,216.4015,0.0
106,First_Time,19,2438.26,128.3295,0.4737,0.3926,2024-01-21,2025-10-04,1,1.9411,9.7881,376.8298,189.9027,0.0,186.9272,364.7959,Medium_Risk,376.8298,189.9027,0.0,186.9272,364.7959,0.0
107,Repeat,11,806.85,73.35,0.2727,0.3348,2024-04-10,2025-11-29,19,1.7221,6.3875,140.5574,64.5227,0.0,76.0347,148.3848,Medium_Risk,140.5574,64.5227,0.0,76.0347,148.3848,0.0
108,Repeat,13,1216.22,93.5554,0.2308,0.2687,2024-01-18,2025-11-27,17,1.9493,6.6689,187.1732,66.7352,0.0,120.438,235.0397,Medium_Risk,187.1732,66.7352,0.0,120.438,235.0397,0.0
109,First_Time,18,2504.5,139.1389,0.3333,0.3809,2024-01-12,2025-11-01,1,1.9658,9.1567,382.2153,185.5622,0.0,196.6532,383.7765,Medium_Risk,382.2153,185.5622,0.0,196.6532,383.7765,0.0
110,First_Time,10,1431.65,143.165,0.4,0.3935,2024-02-14,2025-10-28,1,1.8754,5.3321,229.0118,114.588,0.0,114.4237,223.3025,Medium_Risk,229.0118,114.588,0.0,114.4237,223.3025,0.0
111,First_Time,9,755.4,83.9333,0.4444,0.3587,2024-07-04,2025-09-01,1,1.4894,6.0427,152.1562,73.4313,0.0,78.7249,153.6347,Medium_Risk,152.1562,73.4313,0.0,78.7249,153.6347,0.0
112,First_Time,9,825.75,91.75,0.4444,0.5214,2024-02-29,2025-07-18,1,1.8344,4.9063,135.0471,93.6542,0.0,41.3929,80.7799,High_Risk,135.0471,70.2407,23.3051,41.5013,80.9915,0.2116
113,Wholesale,16,1803.0,112.6875,0.0,0.0616,2024-01-09,2025-12-27,48,1.974,8.1054,274.0135,21.9245,0.0,252.0889,491.9617,Low_Risk,274.0135,21.9245,0.0,252.0889,491.9617,0.0
114,Repeat,11,1692.09,153.8264,0.1818,0.2193,2024-02-09,2025-12-23,19,1.8891,5.8228,268.7112,74.5064,0.0,194.2049,378.9986,Low_Risk,268.7112,74.5064,0.0,194.2049,378.9986,0.0
115,Repeat,13,2021.3,155.4846,0.3077,0.3148,2024-01-01,2025-11-12,18,1.9959,6.5134,303.8189,120.8081,0.0,183.0108,357.1529,Medium_Risk,303.8189,120.8081,0.0,183.0108,357.1529,0.0
116,Repeat,8,719.85,89.9812,0.625,0.2865,2024-11-03,2025-12-28,19,1.1554,6.9242,186.9137,71.4103,0.0,115.5034,225.4095,Medium_Risk,186.9137,71.4103,0.0,115.5034,225.4095,0.0
117,Repeat,11,1498.61,136.2373,0.4545,0.3143,2024-01-15,2025-09-16,16,1.9576,5.6192,229.6646,92.1742,0.0,137.4904,268.3181,Medium_Risk,229.6646,92.1742,0.0,137.4904,268.3181,0.0
118,First_Time,16,2142.98,133.9362,0.375,0.3409,2024-01-26,2025-11-13,1,1.9274,8.3011,333.5469,145.3807,0.0,188.1662,367.2139,Medium_Risk,333.5469,145.3807,0.0,188.1662,367.2139,0.0
119,Repeat,10,1001.03,100.103,0.3,0.2869,2024-01-30,2025-10-26,17,1.9165,5.2179,156.6969,59.1959,0.0,97.5011,190.2773,Medium_Risk,156.6969,59.1959,0.0,97.5011,190.2773,0.0
120,Repeat,13,1802.73,138.6715,0.1538,0.2579,2024-02-17,2025-11-27,19,1.8672,6.9622,289.6395,95.2324,0.0,194.4071,379.3933,Medium_Risk,289.6395,95.2324,0.0,194.4071,379.3933,0.0
